city,cloudiness,humidity,latitude,longitude,Max_temp,wind_speed
Mandalgovi,26,46,45.76,106.27,15.22,7.23
Atar,26,24,20.52,-13.05,67.08,2.42
Bela,0,28,26.23,66.31,67.6,6.35
Yerbogachen,95,92,61.28,108.01,-1.08,11.83
Kargasok,79,91,59.06,80.87,2.93,14.76
Okahandja,13,28,-21.98,16.91,73.99,4.7
Safita,40,93,34.82,36.12,59.0,3.36
Sokolovo,22,93,44.62,16.86,46.4,2.24
Solwezi,100,98,-12.18,26.4,59.59,1.19
Rodrigues Alves,100,94,-7.74,-72.65,78.8,1.12
Charyshskoye,100,82,51.4,83.56,4.75,2.64
San Antonio,0,86,-33.58,-71.61,49.69,3.33
Viedma,100,43,-40.81,-62.99,59.04,12.88
Beloha,0,77,-25.17,45.06,68.45,5.17
Puerto Colombia,84,83,10.99,-74.96,82.99,13.87
Nefteyugansk,75,85,61.09,72.61,14.0,13.42
Monywa,18,71,22.12,95.13,77.16,8.28
Port Hardy,5,52,50.7,-127.42,32.0,6.93
Opuwo,27,58,-18.06,13.84,70.11,4.85
Hasaki,75,81,35.73,140.83,50.0,8.05
Alta Floresta,100,96,-9.87,-56.08,73.22,2.37
Chernenko,83,92,47.23,37.74,45.9,8.12
Idrinskoye,100,96,54.37,92.14,5.79,1.1
Corsicana,90,51,32.09,-96.46,53.6,9.17
Iskateley,96,91,67.68,53.15,20.55,13.53
Rancho Palos Verdes,90,76,33.75,-118.37,55.99,12.73
Kendallville,90,80,41.44,-85.27,37.4,13.87
Elizabeth City,1,88,36.3,-76.22,64.0,18.34
Haines Junction,84,73,60.75,-137.51,8.02,9.57
Valdivia,90,100,-39.81,-73.25,50.0,1.63
Hualmay,100,81,-11.1,-77.61,65.21,1.74
Yar-Sale,100,94,66.83,70.83,8.62,11.92
Matara,82,94,-3.48,29.48,56.91,0.85
Mgandu,62,88,-5.96,34.11,62.49,1.61
Ghanzi,67,30,-21.7,21.65,73.65,9.17
Ariquemes,100,97,-9.91,-63.03,74.62,2.98
Bakchar,70,94,57.02,82.07,-1.97,9.01
Suntar,100,85,62.16,117.65,3.29,11.86
Turtas,100,93,58.94,69.13,20.91,10.76
San Juan,0,34,-31.54,-68.53,72.72,3.94
Visby,100,100,57.64,18.3,45.0,8.05
Whitecourt,90,84,54.14,-115.68,8.6,3.36
Phalaborwa,0,73,-23.95,31.14,71.6,2.24
